"LW", "Long Wave", 
"MW", "Medium Wave", 
"SW", "Short Wave",
"VHF", "Very High Frequency",
"UHF", "Ultra High Frequency",
"HF", "High Frequency", 
"MF", "Medium Frequency", 
"LF", "Low Frequency",
